         434864648 function calls (411668625 primitive calls) in 430.676 seconds

   Ordered by: cumulative time
   List reduced from 3646 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6713482    4.246    0.000    5.529    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/coreviews.py:101(__getitem__)
   772260    1.190    0.000    5.363    0.000 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/data_structures/hash_weights.py:58(get_bucket_list)
      535    0.026    0.000    5.352    0.010 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/functional_ops.py:1112(partitioned_call)
     8122    0.974    0.000    5.000    0.001 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/environment/environment.py:221(get_weights)
      480    0.026    0.000    4.929    0.010 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/optimizer_v2/optimizer_v2.py:473(apply_gradients)
  5020649    3.710    0.000    4.806    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/multidigraph.py:329(succ)
6356/1432    0.014    0.000    4.758    0.003 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/save_impl.py:546(get_concrete_function)
1542/1376    0.010    0.000    4.623    0.003 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/save_impl.py:401(add_trace)
   870656    0.685    0.000    4.616    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/random.py:218(randint)
6474/6274    0.070    0.000    4.541    0.001 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:2870(_get_concrete_function_garbage_collected)
      734    0.011    0.000    4.208    0.006 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/def_function.py:1024(_list_all_concrete_functions_for_serialization)
      535    0.003    0.000    4.140    0.008 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/ops.py:3360(create_op)
 35723991    4.067    0.000    4.067    0.000 {built-in method builtins.id}
3876/3724    0.014    0.000    4.002    0.001 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/save_impl.py:415(trace_with_training)
   870656    1.425    0.000    3.931    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/random.py:174(randrange)
38074/35099    0.070    0.000    3.910    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/func_graph.py:595(capture)
      960    0.007    0.000    3.861    0.004 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/distribute/distribute_lib.py:2683(merge_call)
      960    0.007    0.000    3.809    0.004 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/distribute/distribute_lib.py:2717(_merge_call)
 8640/960    0.067    0.000    3.786    0.004 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/autograph/impl/api.py:273(wrapper)
47575/45523    0.123    0.000    3.761    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/ops.py:1448(convert_to_tensor)
      480    0.122    0.000    3.663    0.008 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/optimizer_v2/optimizer_v2.py:588(_distributed_apply)
       40    0.000    0.000    3.654    0.091 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:98(reset_env)
       40    0.001    0.000    3.653    0.091 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/environment/environment.py:179(reset)
     2032    0.003    0.000    3.605    0.002 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/saved_model/save.py:141(list_functions)
  2020195    3.550    0.000    3.550    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   815457    1.916    0.000    3.499    0.000 {built-in method builtins.sorted}
    32500    0.371    0.000    3.449    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/ops.py:1764(_create_c_op)
  5660970    2.217    0.000    3.442    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/coreviews.py:50(__iter__)
 16183648    3.291    0.000    3.291    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/coreviews.py:44(__init__)
       56    0.000    0.000    3.274    0.058 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/base_layer.py:3017(_list_functions_for_serialization)
       56    0.000    0.000    3.273    0.058 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/base_serialization.py:76(list_functions_for_serialization)
 25575783    3.267    0.000    3.267    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    3.153    3.153 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/backprop.py:983(gradient)
        1    0.000    0.000    3.152    3.152 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/imperative_grad.py:33(imperative_grad)
        1    0.005    0.005    3.152    3.152 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeGradient}
       14    0.000    0.000    3.136    0.224 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/backprop.py:132(_gradient_function)
        2    0.000    0.000    3.122    1.561 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/while_v2.py:307(_WhileGrad)
  358/228    0.007    0.000    2.909    0.013 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/save_impl.py:511(wrapper)
2491/1018    0.019    0.000    2.859    0.003 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/training.py:1890(trainable_weights)
     1082    0.003    0.000    2.856    0.003 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/base_layer.py:2247(trainable_variables)
12891935/12890535    2.645    0.000    2.811    0.000 {built-in method builtins.isinstance}
  498/452    0.001    0.000    2.808    0.006 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/layer_serialization.py:81(_get_serialized_attributes)
    16/10    0.000    0.000    2.801    0.280 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/model_serialization.py:45(_get_serialized_attributes_internal)
